Customer_id,Consumer complaint narrative
162,"I am writing to dispute the alleged loan agreement that appears on my credit report. I have no knowledge of this loan and have never signed any agreement for it. I believe this to be an error or possibly identity theft. 

I request that you investigate this matter and remove the loan agreement from my credit report. Please provide me with any documentation or information related to this loan agreement that you have in your possession. 

Thank you for your attention to this matter. 

Sincerely, XXXX XXXX"
163,"On XX/XX/2023 at XXXX XXXX  a woman went into A Bank of America branch @ Address : XXXX XXXX XXXX, XXXX, TX XXXX and withdrew XXXX from my husband and I joint account. The bank stated that she said that she was his daughter, but no one notified me and my name is on the account as joint owner. The bank teller gave her enough information regarding the account that this woman was able to get my husbands username and change the password to gain online access to the account information. My information was also compromised and I am now receiving alerts on my credit report that my information has been compromised. I feel that the bank was negligent because my husband had a XXXX XXXX XXXX and is XXXX. He can not type on a computer, so someone in the personal care home where he resides, or some one else now has access to my personal information as well as his. I believe this was possible due to negligence of the Bank of America employee 's negligence in handling the situation. I am filing this complaint because in a week my Credit Score has plummeted. I am very upset and frustrated by the entire incident."
164,Overdraft fees being charged and ATM fees being charged twice
165,"I was purchasing XXXX tickets and when I went to pay, they offered an XXXX XXXX that offered XXXX points if you applied for the card and spent {$1000.00} in the first 3 months. So instead of using my XXXX XXXX to pay, I applied for the card, was approved, and purchased {$1800.00} in tickets. Less than 24 hours later, they started offering XXXX points for the same transaction. I contacted FNBO bank that issues the credit card and explained that it didn't seem fair that had I waited less than XXXX hours to do the transaction I would receive double the points. The customer service rep agreed and said unfortunately they don't handle the reward points so I would have to contact XXXX for them to help. She provided a number for me to call XXXX, which I did. I explained to the rep what occurred and she said unfortunately since I signed a contract for the card there was nothing that could be done. I said since the promotion just started technically couldn't I just cancel the trip and close the card and just re-apply for the card, since it was less than XXXX hours since I signed the "" contract '' and she said she couldn't guarantee they would honor the promotion since they offered it to me already. I explained none of this seemed fair so she escalated it to a leader. The leader said she understood it didn't seem fair and she would escalate it to see if they could make an exception, and someone would call me to let me know the decision and no one has responded. I just don't believe this is fair. Major department stores offer guarantees that if you buy something and it goes on sale shortly thereafter they'll match the lower price. Why isn't there a consumer protection for what happened in this instance? Just like the XXXX hours you have to cancel a contract, why isn't there a similar grace period for promotional offers?"
166,I went to get a room 4 a month walked in had XXXX XXXX  min later I was told I had no money at the XXXX XXXX and next I checked ledger and i had exactly XXXX in my acct I went back in they said they never received the money but they gave me the printouts Dave Banking app has Hi dered every movement I have by keeping my money from me I am XXXX and I am XXXX now homeless on streets XXXX Texas without XXXX of mine till the XXXX of next month 2nd I lost it it's still pending
167,"Starting XX/XX/2023 ( "" XXXXXXXX XXXX XXXX XXXX XXXX  ) United Wholesale Mortgage is trying to overcharge me by performing another deceiving Escrow Analysis. 
With no justification at all, with help from their so called payment processing team, XXXX XXXX ( whic is under the Cease and Desist Order issued by the Office of The Comptroller of the Currency ), they have increased the Escrow Deposit from {$710.00} to {$760.00}. ( please see attached ). Huge difference!!! 
{$710.00} is a contractual established amount, obtained through a previous Escrow Analysis that was performed in regards of the loan modification process. 
Moreover, this amount of {$710.00} can not and should not be increased at all as long as : 1. Cost with Property Mortgage Insurance, Homeowners Insurance and Property Tax didn't vary ( as per our contract ) and 2. because this was already established for a length of 60 months since is a XXXX XXXX backed up loan. 
Every year, every year, every year, this company has performed an Escrow Analysis and has put lots of EFFORT to overcharge my Escrow Account through a deceiving Escrow Analysis. 
Every time I have to address these concerns. 
I get it, they don't like the fact that the shortage can be paid in 60 months and not in 24 ( as they want for a faster cash flow ). But this is a XXXX XXXX XXXX investor 's backed up loan and they have to comply with the Federal Law and XXXX XXXX XXXX  requirements and guidelines and STOP abusing me and my account. 
Stop OVERCHARGING my Escrow Account! Out of the last 4 Escrow Analysis ( for the past years ) you never made a mistake in charging less, you only MADE MISTAKES and tried to charge MORE. Is your computer SET only to CHARGE MORE???? Maybe is time you should adjust that computer system and definitely your DECEIVING PRACTICES."
168,"Hello, There is a serious problem with Synchrony bank. I had 7 different store cards and credit cards with Synchrony bank. They closed them suddenly in one day. Some of them had small balances and they reported to the credit report them as "" settled amount. Please read the info below ; -I have XXXX credit score. Using Synchrony cards everyday since 2016 and pay full balance every month. 
-I never had any late payment with Synchrony or any other bank card, loans etc. Everything is on time. 
-I have a very clear credit report with only % 8 utilization that are always paid in full every month. 

2 days ago I woke up with bunch of emails. Synchrony closed all of my accounts for nothing. Called customer service and they were even confused why it is happened.

Amazon store card {$590.00} balance of {$20000.00} limit. 

Paypal Mastercard {$350.00} balance of {$20000.00} limit. 

XXXX XXXX {$1.00} balance of {$10.00} limit Synchrony car care {$1400.00} balance of {$10.00} limit XXXX XXXX XXXX {$0.00} balance of {$3500.00} limit Paypal credit $ XXXX of {$5000.00} limit XXXX card {$1200.00} balance of {$6000.00} limit ( They approved this card 2 days before closing all the accounts ) Now serious problem starts here ; Cards with balances reported to my credit reports as ''settled amount '' I've got an email from XXXX XXXX XXXX says ; "" It looks like you settled an account with a lender. When you settle an account, you negotiate a lump-sum payment with your lender to pay back part of what you owe so that the rest is forgiven. '' For those balances statement not even closed yet. I did not even get the statements to pay the balances.

-I never wanted to close the accounts.

-I never attempted to not pay the balances or never attempted to negotiate for settlement. 

I always pay the full amount after they send me the statement. 

I really need an assist with this situation since it damaged my credit score so bad. I'm in the middle of renting a house and I can't right now. 
I've never ever experienced anything like this before. 

Thank you."
169,"I have sent an affidavit of truth referring to XXXX and have yet to receive remedy despite sending a proper remittance on XX/XX/2023 to XXXX XXXX XXXX XXXX in XXXX, North Carolina zip code XXXX. The bill was for about {$4100.00} and I have another for about {$1000.00} but this is fraud and I have pointed that out in my affidavit so I am confused as to why BANK OF AMERICA is attempting to cause me mental anguish. According to these regulations, under the terms in which I agreed to in good faith, I am a victim of deceptive acts. The bank sends me a statement rather than a bill and carefully orchestrated this to make me believe that I have an obligation to pay with my hard earned money when in fact I can have it taken from the security account"
170,"RE : CASE NUMBER XXXX Wells Fargo mortgage continuously miscalculated fees and other charges in my Escrow account. When I requested correction of these errors, Wells Fargo mortgage responded first by generating two incorrect foreclosure letters among other tailored documents to justify misappropriating funds in my escrow account, then refused to directly address issues raised. A lender that would go to such lengths to cover up untruths leaves much to be desired. 
Be advised that I demand an explanation of the epileptic mortgage interests charged in : XXXX ( {$6300.00} ) ; XXXX ( {$5100.00} ) ; XXXX ( {$4800.00} ) & XXXX ( {$3700.00} ), since my loan is on a fixed rate. Additionally, please provide following XXXX escrow calculations : Beginning balance - Funds Received - Funds Disbursed - Ending balance. 

Lastly, I will appreciate details of the 'interests ' and 'other charges ' added to the ending principal balance of {$85000.00} that produced an outstanding mortgage of {$91000.00} as stated on my XXXX Form XXXX."
171,"I received a letter/notification in the mail on XX/XX/XXXX from Chase Banking stating that they had received a check previously deposited into an account with my name on it and was returned due to the checks being altered/fictitious. They included a copy of the check in the letter. I personally do not have a Chase Banking account and immediately realized it was fraudulent and someone opened an account in my name without my permission. The amount on the check was for XXXX. I immediately went to the nearest Chase banking office and reported the fraud account. They put a hold on the account and reported the fraud to the department. Upon closer look, no money was taken out of my banking account and there were no additional withdraws or opened credit cards in my name. I then followed up and completed a police report in my area for the identify theft problem."
172,"On XX/XX/XXXX, I applied for a XXXX XXXX  loan modification under the Covid-19 relief program for XXXX XXXX XXXX XXXX XXXX, MA. Mr. Cooper denied my application on the false basis that I did not deposit my rents from my tenants which I use to pay my mortgage. Mr. Cooper violated XXXX XXXX regulations when it denied me because I did show that I deposited my rents in my bank statements and also provided leases and tax returns. Mr. Cooper lied to me and broke the law even though I qualify for a XXXX XXXX loan modification so they could steal my house in a foreclosure auction which they subsequently scheduled for XX/XX/XXXX. I have children who rely on me to provide for them and I need my property so I do not become homeless. I feel that the Mr. Cooper want to take the equity in my home and does not care about homeowners it puts out on the street. On XX/XX/XXXX, I submitted a new loan modification application in which I circled my rent deposits. Mr. Cooper refuses to stop the foreclosure on my property. I need the CFPB 's help to stop the foreclosure and make Mr. Cooper follow the law and approve me for a loan modification so I can move on with my life. Please help me. XXXX XXXX."
173,"I am writing to express my deep concerns about the predatory practices and poor customer service that I have experienced with your company. Based on my personal experience and research, it is clear that your company intentionally makes it difficult for borrowers to access their account information, apply for loan modifications or refinancing, and receive accurate and timely responses to their inquiries. 

Specifically, I was locked into a high interest variable rate loan and given false information on repayment options. I have also experienced unresponsiveness from your representatives and received conflicting or misleading information when trying to seek help. This has left me feeling frustrated and hopeless about my ability to repay my loans. 

Furthermore, I am aware of the several legal cases and investigations brought against your company, including the 2014 lawsuit by the Consumer Financial Protection Bureau ( CFPB ) and lawsuits from several state attorneys general. These allegations of excessive fees, misleading information about loan terms and options, and failure to properly process payments are deeply troubling. 

It is unacceptable that XXXX and innocent borrowers like myself are being taken advantage of by predatory practices. I urge your company to take immediate action to address these issues and provide better customer service to borrowers who are struggling to repay their loans. 

Thank you for your attention to this matter."
174,"distress and XXXX, to XXXX XXXX where I'm having trouble sleeping. I implore you to rectify this as soon as possible. I have never missed a payment on this account, and I find it extremely unfair that I am now being penalized for something that is not my fault. Please update my account immediately and remove any inaccuracies causing me this undue stress."
175,I received an email in regards to the payment on my auto loan with Upstart. I received the email at XXXX. According to Florida regulations it is against the law to contact an individual by phone or email prior to XXXX. There are fines associated with breaking this law.
176,"I am filling this compliant regarding Citibank closed my saving account and refused to send me the funds remaining in my account. 

I opened a new Citibank Accelerate Saving account back in XXXX and successfully deposited $ XXXX on XX/XX/XXXX from my XXXX XXXX XXXX  saving account. On XX/XX/XXXX, I received an email from Citibank that my account will be closed within 60 days. The email simply states : Based on a recent review of your account, we found that you have violated the terms per the client manual. There were no specifics given in the email as to what terms exactly I violated. I contacted Citi twice on XX/XX/XXXX and XX/XX/XXXX, both Citi representatives quoted the same statement in the email without adequate explanation why the account is closed. When I asked them how to get the remaining funds back, they said I will be receiving an mail with detailed statement and a check of the remaining balance, which is around {$15000.00}. 

Ok, no problem. But after patiently waited for 2 months, I still have not received anything from Citibank as of XX/XX/XXXX, so I called them again and this time they told me I will not be getting a check of the remaining balanced on my closed account. Instead, they asked to me contact XXXX XXXX XXXXXXXX where the funds originally came from, and they need XXXX XXXX XXXXXXXX to file a Hold Harmless Claim and return the remaining balance to the original account. Again, there were no explanation from Citi representatives as to why they can`t just return the remaining funds to me, which is legit deposit from my funds in XXXX XXXX XXXX XXXX 

Anyways, I contacted XXXX XXXX XXXX  for this request of filing Hold harmless claim. After talking to 5 different agents in XXXX XXXX XXXXXXXX claim department, which took me almost 4 hours. I got the same answer from them that XXXX XXXX XXXX can not file a Hold Harmless claim for the XXXX XXXX fund transfer to Citibank, because the fund transfer was totally legit and no implication of fraud, it was made by myself and was successfully deposited to Citibank account. XXXX XXXX XXXXXXXX states that Citibank should return the remaining funds directly to me, because it`s my money in Citibank account. If Citibank suspects any fraud involved in this transfer, XXXX XXXX XXXXXXXX expects Citibank to contact their fraud department and provided a contact email address. 

In the following days, I made numerous calls to Citibank again, informed them of the response I received from XXXX XXXX XXXXXXXX, but all in vain. Citibank refused to contacXXXX XXXX XXXX XXXXXXXX fraud department to request a claim, and Citibank Deposit Risk team still insists XXXX XXXX XXXXXXXX to contact them to file a Hold Harmless Claim for a legit funds transfer from XXXX XXXX XXXXXXXX perspective. Citibank again refused to return my funds back to me on the closed account. 

As a consumer, I`ve done my due diligence and spent tons of hours working with Citibank trying to get my money back, but ended up being putting into a hopeless position by Citibank where I run out of ideas how to get my {$15000.00} funds back. Citibank closed my account and hold account balance since XX/XX/XXXX with no reasonable explanation, and made the process impossible for a consumer to get their legit hard-earned money back. I sincerely hope CFPB can help in this situation with Citibank and and get my funds back. 

Thank you so much"
177,"Concert tickets were purchased XXXX XXXX, using a debit card on XX/XX/2022 for an XX/XX/2022 show at XXXX XXXX in XXXX Massachusetts. 

On XX/XX/XXXX an email was received indicating the show was rescheduled. with a date and time of the rescheduled concert. 

XXXX XXXX indicated the wrong time for the rescheduled concert. 

We missed the concert because of this error of time clearly shown in the email XXXX XXXX sent. 

Bank of America claims the dispute should have been filed within 60 days of the purchase. 
Bank of America has issued a temporary credit which they indicate will be reversed because of prior knowledge in these cases. 
XXXX XXXX claims it is responsibility of ticket holder to confirm rescheduled times. 
However XXXX XXXX accepts no responsibility of sending an incorrect time for the rescheduled in an email. 
The full price for tickets should be refunded back to the debit card in amount of {$150.00}"
178,"I was stuck waiting for a new Capital One 360 debit card for 2 weeks. I needed {$100.00} in cash, and called about using my Quicksilver card for a cash advance. The customer service representative clearly explained that interest started accruing immediately. This was fine by me, since I had money to pay the balance off immediately from my Capital One 360 checking account. 

However, upon using the card for {$100.00} of cash advance, I have been unable to pay off the balance. The cash advance charge was made on XXXX, but on XXXX, the charge is still pending. I called to try and pay the balance, but the representative confirmed that I started paying interest on the XXXX, and the XXXX. However I would be unable to pay off the cash advance until it finished pending and appeared on the balance. This is most likely to happen on XXXX. 

It seems very predatory that I am paying interest for 3 days, and have tried to pay the charge, but am not allowed to pay it until it settles in Capital One 's system."
179,"I initiated a transfer of {$250000.00} from Apple Savings ( through Goldman Sachs ) on XX/XX/2023. The app indicates that it typically takes 1-3 business days to complete ; however, when I called on Friday ( XX/XX/2023 ), I was told that it could take up to 5 business days and that I had no choice but to wait until Monday ( XX/XX/2023 ). I called again on at the end of business on Monday ( XX/XX/2023 ) after still not have received the funds, and this time, I was told I needed to verify my information for them to process. I then did that and was told it would take 1-3 business days. i called again on Wednesday ( XX/XX/2023 ) and have now been told the transfer is still under review. 

What is particularly frustrating is that no one seems to have any power to do anything. That is the response from supervisors and specialty operators."
180,"Roundpoint Mortgage sent my insurance premium payment to the wrong company. My provider contacted them and instructed them to overnight it to the correct address. They failed to do so multiple times, and as a result my home insurance was not renewed and my home is not currently covered. Multiple contacts have been made with Roundpoint and still the issue has not been resolved."
181,FRAUD. CREDIT CARD WAS OPEN FRAUDULENTLY. PLEASE REMOVE OFF CREDIT REPORT AS IT IS AGAINST THE LAW TO REPORT ON CREDIT REPORT. THIS ACCOUNT WAS OPENED AND USED UNDER MY NAME FRAUDULENTLY. PLEASE REMOVE IMMEDIATELY. THIS COMPANY DOES NOT RESPOND AT ALL.
182,"A deposit came through my account on Friday, XX/XX/XXXX to chime from my college XXXX university. Chime advertises that they do not hold money but chime received my deposit and they wont release it to my account and they dont do deposits on the weekends which intern cause me to deal with some issues in regards to my finances, I talked to a manager at Chime and he stated that they do not do deposits on the weekends. They advertise they dont hold peoples money but if a deposit comes through on a Friday night into Saturday morning, they will hold it till Monday and thats not fair to the consumer."
183,Wells Fargo mortgage in XXXX sent payments totaling XXXX XXXX they said they never got and foreclosed on the house
184,"In early XXXX XXXX I opened a XXXXComenity Bank Credit Card ( acct XXXX XXXX ) and spent {$30.00}. I paid the bill on XX/XX/XXXX, but there was a problem with the account number. According to my bank ( XXXX XXXX XXXX, Acct XXXX ) Comenity accepted the payment but did not apply it to my account. I called Comenity and they said, "" no problem, just wait as it may post later ''. It never did, so I was worried about my credit and sent in {$35.00} on XXXX, but again it was cleared by XXXX but not so with Comenity. I called, and they said I should pay {$32.00} on XXXX which I did over the phone. That is the only payment that they have acknowledged. I got another bill with the charges mounting so called again. I got XXXX and Comenity on the same line and all was apparently fixed as XXXX said the payments had cleared and the Comenity rep confirmed it. The rep from Comenity said I would see a corrected statement shortly. After about 10 days I checked online and there was no correction, so I called Comenity again. They said they had no record of a resolution, and that I must send in written proof via U.S mail and wait 90 days for a resolution. I do not believe that will do any good since they continually lie to me and a letter will go where?? To date I have paid {$98.00} but only {$32.00} has been credited to my account, and they claim I now owe {$66.00} more. They are sending me ugly letters ; I have spent hours and hours trying to fix this and give up. Please help me."
185,"In late 2021, I called Bank of America to request a reduced APR for my credit card. The person, male, who answered the phone advised me that if I opened a new credit card ( i.e. a second credit card ), if I did that, that I could take advantage of their 0 % interest transfer and be able to transfer the entire amount that was currently on my Allegiant Credit Card to the new Credit Card and have 0 % financing for 18 months. I agreed based on this information. 

The truth is that this was not an accurate statement. So, my credit was dinged by Bank of America for opening a new card. I complained several times to the company. Bank of America offered to close the account- which I understood would ding my credit again, and they agreed that it would happen if they closed the account. But they never provided anything other than we are sorry and will talk to the employee who did this and said these things. 

This still infuriates me as I relied to my detriment on BOA 's representation that I would be able to have 0 % interest on my balance for 18 months. At no time has this happened. 

This is flat out fraud, and I advised them of this. I even called the fraud line for BOA and the only recourse they had was to close the account, which, again, would hurt my credit score. It did not occur to me until today that I could file a complaint with Consumer Protection. 

I believe this is standard practice for BOA to get as many credit cards out to people as possible. I would like BOA to have consequences for their agent's/employees behavior."
186,An American Express XXXX XXXX back was open today. I found out because I got an email from my credit report that an hard inquiry was made today and the credit card was approved for XXXX and that it was summited online. Contact them to report fraud and they cancel the credit card. Credit bureau told me to make a report
187,"I placed an order with XXXX  around XXXX of 2022. I called XXXX XXXX to dispute the charge on the XXXX of that month because I never received my items and the order was {$2100.00}. Ever since, I have been in a 6 month long dispute and the bank just recently closed my case, ruling that I had been denied. I also got a chargeback from XXXX  somewhere in between these 6 months but was able to dispute that and win that case. My case was taken to VISA arbitration and only till now have they come to a conclusion. However, I still need a refund for the items that never arrived so please help me get my money back. XXXX XXXX has not been very helpful with my case and has dragged it out for almost 6 months. XXXX XXXX even claimed that they were waiting for the merchant to respond back after having already contacted them. They said they contacted XXXX  and waited the appropriate amount of days, in which the merchant did not respond but XXXX XXXX still contacted XXXX  again. But according to XXXX XXXX 's claims policies, if the merchant does not respond within the given days of initial contact, the case is closed and the customer ( me ) would win the dispute. However, as I was calling XXXX XXXX to check on the progress of my claim, they alerted me that they have contacted XXXX  again for a second time claiming that they're still waiting for their response."
188,"I purchased a vehicle from a dealer in XXXX XXXX. I traded in my old vehicle and the dealer made arrangements to pay the lein holder Wells Fargo the balance due on the loan, which was {$11000.00}. However, Wells Fargo made an unauthorized withdrawal from my checking account, held by XXXX  XXXX XXXX, in the amount of {$11000.00}. This overdrew my checking account, which triggered my overdraft protection and erased everything I had in savings, leaving me virtually penniless. 

I have spent considerable time on the phone with both Wells Fargo and XXXX  XXXX XXXX and each entity suggests that I contact the other. I can not get either to return my funds and I can not get satisfaction."
189,"I closed on my primary residential FHA home loan on XX/XX/XXXX, The initial loan amount was {$190000.00}. I wire-transferred {$20000.00}, for closing costs and down-payment, on XX/XX/XXXX. 

I made substantial improvements to my home in XXXX and the appraised value increased from {$170000.00} in XXXX to {$250000.00} on XX/XX/XXXX. 

I submitted a written request to Flagstar Bank on or about XX/XX/XXXX, to have my Private Mortgage Insurance canceled on my FHA mortgage loan and received a letter dated XX/XX/XXXX, stating : "" Dear XXXX XXXX XXXX XXXX : Request to Cancel Mortgage Insurance Premium We have received your request to cancel the mortgage insurance premiums ( MPI ) on the above FHA loan. We can not honor your request to cancel MIP as you are required to have MIP for the life of the loan per FHA guidelines. 

If you have any questions, please call us at ( XXXX Monday-Friday XXXX XXXX XXXX. or Saturday XXXX XXXX XXXX XXXX. 

Sincerely, PMI Department ''"
190,"On XX/XX/XXXX, around XXXX XXXX, I received a phone call from Chase Bank asking if I agreed to a {$4700.00} payment. I told them that I had not agreed to anything, and the caller said that if I provided my detailed information, they would cancel the payment. I went ahead and provided my detailed information just to be cautious. Later, I called the bank directly just to make sure. The bank informed me that while I had not given consent, another co-signer, who happens to be my wife, had agreed to the payment. It is impossible for my wife to have agreed as she does not speak XXXX. The bank mentioned that they would conduct an investigation, but the outcome of the investigation was that they could not refund the money."
191,"Hello! 
I had a shared personal account with my husband at Bank of America for 7 years. My husband also had his own business account at Bank of America, not shared. He had his business account closed in the beginning of XX/XX/2023 as a result of a bad deposit. Also, Bank of America closed all accounts in his name, which was a personal shared account with me. 
I tried to open a personal account at Bank of America again, and they confirmed that they dont have any fraud information or activity on me personally, but since I was at this shared account with my husband they refused to open an account for me and work with me again. 
I also have issues opening any deposit accounts now at any bank since I believe this situation with Bank of America effected my records"
192,"We've had Wells Fargo as our mortgage company for many years. In the beginning, we had money in escrow for our taxes. We had our mortgage go up every year and they kept saying it was the taxes going up. We refinanced maybe 15-20 years ago with them and found out that they paid our taxes at the end of the year, which made us incurre the late penalty. I told them this was not right to do since money was in escrow. They said this was their practice to do so. We refinanced and had them take out the taxes so we would pay them early. Our mortgage rate never went up because of taxes again. Was there any recourse for them to pay us back all those late fees on our taxes? As soon as we received the tax bill we mailed it in to them the next day or so."
193,"I am a XXXX XXXX XXXX woman, single. I took out a title loan with Titlemax in XX/XX/XXXX. I must work to supplement my Social Security. I took a job at a local gas station and convenience store. I developed XXXX that is extremely painful and had to leave the job. I fell behind on my payments to XXXX XXXX and although there customer service mantra is they are committed to great customer service they were not willing to work with me on a settlement. The interest rate goes up daily from {$500.00} to now {$860.00}. My car is XXXX XXXX XXXX and now in danger of repossession. I can't lose my vehicle. They have closed all branches in my state as of XX/XX/XXXX due to unfair business practices. They do not ever answer their phones and I need reconciliation."
194,"We were offered a promotional 0 % transfer on our Amazon Chase card that we have held since XXXX. This is our primary credit card where we pay our balance off every month to avoid interest. We took the transfer to pay down some of a recent home equity line. We were given 12 months to pay off the transfer at the 0 %. we did XXXX and had a transaction fee of {$370.00}. 

However, when we started to pay our card the first month of the loan i noticed the payments were only being allocated to the balance transfer and not to our purchases that month. i called Chase to see how I could pay the new purchases first and then allocate the overage to the transfer portion since it is reflected in a different area on our statement. 

I was informed that I have to pay off the entire transfer and then the new purchases to avoid any interest on my new purchases. I was told that was in the very long disclosure. The spending behavior I have demonstrated for 13 years clearly shows that we do not intend to pay interest at 17.74 % on purchases. I am very upset by the way this is handled and the advertisement indicating a 0 % with a transfer fee. I was OK with the transfer fee and completely understand it, however I do not think I should be penalized twice for this transaction that was advertised as 0 % for 12 months. 

We took this transfer on XX/XX/XXXX"
195,"My husband and I took out an Auto loan thru Wells Fargo on XX/XX/XXXX. 
The paper work was submitted for direct auto pay. 
Wells Fargo never linked our bank account to make the direct payments. We noticed that payments were not being paid on XX/XX/XXXX! We called them immediately but it was a Saturday. We called again on Monday XX/XX/XXXX. We were told that the loan had already been "" charged off '' and Wells Fargo had reported late payments to all 3 credit bureaus. 
Wells Fargo never maid an attempt to notify us prior to a letter we received on XX/XX/XXXX requesting the loan 's full amount of XXXX and the car was hours away from being repossessed. 
With company wide systematic errors happening Wells Fargo bungled our auto loan resulting in sever credit damage and mental distress. 

My husband and I ended up paying the auto loan in FULL for XXXX on XX/XX/XXXX. 

We always intended to make payments, we have our mortgage loan with Wells Fargo and trusted them."
196,I have a vehicle financed through Santander Consumer. And my payments are {$450.00} per month... .and only XXXX cents is being applied to the principal per month. This is very disappointing and should be illegal in California. I purchased the vehicle XXXX XXXX. Please help me comprehend this loan agreement?
197,"American Finance went out of business without notice, and the XXXX XXXX XXXX where I got the car also went out of business and there's no one to talk to. I called about three weeks before they closed letting them know that my husband had passed away and I needed a lower payment, the representative I spoke to said she had sent my information to her manager and he was going to send me an email letting me know what he can do for me, I waited a week and still no email so I called back and I was told she had made a mistake and had to resubmit my information to her manager and I would hear from him in about 3 days, three days passed and I called back and was told the same thing, so I waited for another three days, and when I called back no one answered the phone at the finance company or the dealership, and that's when I saw on the news that they had shut their business without notice."
198,"I was approved for the borrower defense on XXXX  and as of today, Mohela and the US department of education has failed to update my student loans showing that I am no longer eligible for loans under XXXX XXXX. Ive waited the requested time frame which was 180 days and there was no update so i contacted both agencies and neither agency could answer my questions as to why my loans are still being processed. I filed a feedback case with the US department of education Ombudsman group in XX/XX/ and i waited the requested time frame of 15 business days and have not received any communication from that department. This is affecting my credit profile and finances and i would like for it to corrected as i have now waited an entire year with no results."
199,"12 U.S.C. 5531 - U.S. Code - Unannotated Title 12. Banks and Banking 5531. Prohibiting unfair, deceptive, or abusive acts or practices 2018-BCFP-0008 Document 1 Filed XX/XX/2018 Account : XXXX I, XXXX XXXX XXXX, have been in constant communications with multiple representatives of Santander Consumers USA, each and every one of them, have a different misleading story.

Santander Consumers USA, Sent me a Notification Letter saying there's a refund for unearned Gap Insurance without a check for the amount of {$570.00}, this is deceptive and misleading a settlement Letter to the Affected Consumer. 

Santander Consumers USA, representative told me to send a email to unclaimed property department and that will take about 20-30 weeks to respond after the Consent Order comes to an end. 

Santander Consumers USA, has deceitfully attempted to mislead and unfair abusive practice. Affected Consumer, Santander Consumers USA, is in Violation of the Consent Order ; l. Respondent means Santander Consumer USA Inc., including when doing business as XXXX XXXX or XXXX, and its successors and assigns. 

m. XXXX XXXX means the optional financial product that Respondent offered to consumers in connection with auto loans, which purported to fill the gap between the primary insurance payout and the outstanding amount of the auto loan in the event that the vehicle is a total loss, and any similar guaranteed-asset-protection product offered by Respondent under any name.

9. Respondent also used the following language to market XXXX XXXX : Your auto insurance may be inadequate to protect you financially in case of a total loss through accident or theft. If your loan balance is greater than the current cash value of your car, GAP ( Guaranteed Asset Protection ) can be a great way to protect you. Your insurance payout could end here. GAP takes care of the rest d. Describe the processes for issuing, delivering, and tracking payments to all Affected Consumers, including processes for handling any unclaimed funds ; j. Include the form of the letter ( Notification Letter ) to be sent notifying Affected Consumers of the restitution, which must include language explaining the manner in which the amount of restitution was calculated and a statement that the provision of the payment or statement credit is in accordance with the terms of this Consent Order ;"
200,"XX/XX/2021 is when I completed my documents regarding identify theft for the mortgage account Carrington, which was fraudently opened without my consent. I am a co-borrower who has been dragged onto this account without m had advise the provided necessary documents to initiate the investigation as for the identify theft, police report, evidence. Which I have not heard from the company regarding status. So i contacted them in XXXX, which there was no updated information and was advise the individual was looking to re-finance the property. I had mentioned to them that I would not be partaking on the re-finance and needed to speak with the department. I reached out again in XXXX and still was advised that there was no updates regarding research and nor have I heard from them"
201,"We have been filling out loss mitigation for 3 years since XXXX and My divorce caused us to be out of work. We never heard anything and listed the house spring  of XXXX. Had a full price offer and wound up pulling out after we received a foreclosure notice and reached out that we would like to keep the home and the only reason it was listed was because we didnt hear back. We were shortly later advised to call freedom mortgage because we would qualify for a COVID modification. We were assured this multiple times so we pulled the house off the market. When we completed the COVID modification for basically reinstating payments- i it required all the information the loss mitigation packet required despite being advised it wouldnt. I called to check the status she couldnt see it then I was told the system glitches but they would get it to XXXX. We were advised no additional paperwork would be needed. We were then advised a few weeks later that we did in fact NOT QUALIFY for one of the plans under the COVID options but would be offered a similar option but didnt need to resubmit because they had everything they needed. We received a notice requesting it a few weeks later so I called I was told no I didnt need to since we had recently submitted it all. Called the night before it was due to re verify it didnt and was told just paystubs and bank statements. I demanded to speak with a supervisor for clarification. I was then placed in direct contact with someone named XXXX XXXX who is a liaison for these kinds of issues. She advised complete the entire thing. We both had to call in last minute the day of but we got it submitted online. A bit later she advised that was not sufficient and complete the hard packet. She advised I could send directly to her. I completed and put everything in one file labeling each document. Was advised she would reach out and let us know if additional documents were needed. Heard nothing and received another packet in the mail to complete. I emailed asking why they needed again and for a phone call. Never got an answer and that phone call turned into what seemed like an intentional game of phone tag that ended with an email advise if she RESENT THE APPLICATION. I went to XXXX where the incompetence continued. They asked how I would like to be contacted by phone or email and I provided TWO EMAIL addresses. Didnt hear anything for a few days and reached back out and was advised THEY CALLED but got no answer- like it was my fault yet I NEVER PROVIDED A NUMBER. WE ARE AT A LOSS. 
We pulled our house off the market which may have been our only chance to secure housing for our family of XXXX. One of them being my daughter who is XXXX and XXXX XXXX. PLEASE HELP US."
202,My car was totaled do through hail storm damage. I was paying GAP protection on the car. The car was paid off by the insurance and after confirming payment it was still reported as delinquent. The problem was address by agency when buying my home. I never revived payment on the GAP after car was paid off.
